,value
vol_percentile,0.04055972600845021
realised_vol_50,0.03589776556916181
realised_vol_14,0.033792674106888014
bb_width,0.032604447047162775
ret_skew_50,0.03258492449301587
parkinson_vol_50,0.030361714045711596
ret_kurt_50,0.027903687765328006
vol_term_structure,0.0271067555058848
parkinson_vol_14,0.024768295730205336
realised_vol_200,0.023537637358059565
atr_14_rel,0.022972705154511153
ema_200_dist_atr,0.022407321549406292
vol_of_vol,0.02128370920007705
ret_autocorr_50,0.020991251569064562
parkinson_vol_200,0.020928540143745757
atr_50_rel,0.02029345179801593
atr_200_rel,0.01813821655454186
bb_squeeze,0.01806081989112362
roc_48,0.017764027305578124
adx_14,0.017057183722399095
adl_slope_20,0.015085601157299547
ema_200_slope_atr,0.014968038317850615
dc_20_width_atr,0.014692835714566423
dc_55_width_atr,0.014575406627512418
dc_200_width_atr,0.014427999534546987
ema_50_200_spread_atr,0.014359932305034795
mean_reversion_score,0.013821809195866704
ret_20,0.013809901310764329
trend_strength,0.012965293049985132
hurst_100,0.012667348193514685
dc_200_position,0.012383732597550155
mfi_14,0.012242619279464831
ret_50,0.012223452001838815
ret_50_norm,0.011713630125892499
ema_50_dist_atr,0.011706219191408962
di_balance,0.011700060636350476
rsi_50,0.011394335306962933
dist_swing_high_atr,0.010930328657472297
rsi_14_delta,0.01077482950701418
ema_20_slope_atr,0.010691513793794877
ema_20_50_spread_atr,0.010417674069981508
ema_50_slope_atr,0.009999958359301732
dist_swing_low_atr,0.009403560060025294
obv_slope_20,0.009180424344646372
ret_5,0.008964541547789471
ema_20_dist_atr,0.008907303008616125
macd_hist_atr,0.008495287072316901
ret_10,0.008436626470174671
dc_55_position,0.008402847749886531
stoch_d,0.007843642192035838
momentum_score,0.007763258216066102
dc_20_position,0.007748580610257864
rsi_14,0.007516565482851124
cci_20,0.007159717440709007
roc_12,0.007053371099373787
volume_ratio_20,0.006873375577837672
swing_position,0.006754245690888974
ret_1,0.006668866306383967
volume_z_50,0.00608166454520529
ret_5_norm,0.006066265225082319
bb_position,0.005920903832746796
ret_20_norm,0.005795350353266965
ret_10_norm,0.0053313354138808606
stoch_k,0.005296589518415106
bar_range_atr,0.004737168076482008
williams_r,0.004726046089823674
hour_sin,0.00459056482591677
bars_since_swing_low,0.004503136652921139
bars_since_swing_high,0.004482083649177138
ret_3,0.004428868405226039
force_index_z,0.004303169497708755
up_bar_ratio_20,0.004134397948618842
ret_3_norm,0.0036759488885781916
hour_cos,0.003219081174858448
weekday_sin,0.0024419587941720854
gap_atr,0.0013423041104646469
weekday_cos,0.00126669695741772
regime_0,0.0011433537173535047
regime_2,0.0010705409443931301
macd_cross,0.0005212083348138593
regime_3,0.00051445488978306
regime_1,0.00039507390894413384
is_london_ny_overlap,0.00027224792258349044
