,threshold,signal_rate,signals,directional_precision,sign_error_rate
0,0.34,1.0,5208,0.49289554531490015,0.5069124423963134
1,0.36,1.0,5208,0.49289554531490015,0.5069124423963134
2,0.38,0.9988479262672811,5202,0.4934640522875817,0.5063437139561707
3,0.4,0.9882872503840245,5147,0.49446279386050124,0.5053429182047795
4,0.42,0.9619815668202765,5010,0.49640718562874253,0.5035928143712575
5,0.44,0.9170506912442397,4776,0.5008375209380235,0.4991624790619765
6,0.46,0.8602150537634409,4480,0.503125,0.496875
7,0.48,0.793778801843318,4134,0.5062893081761006,0.4937106918238994
8,0.5,0.7227342549923195,3764,0.5135494155154091,0.4864505844845909
9,0.52,0.575652841781874,2998,0.5110073382254836,0.48899266177451634
10,0.54,0.4141705069124424,2157,0.5081131200741771,0.4918868799258229
11,0.56,0.2632488479262673,1371,0.5120350109409191,0.487964989059081
12,0.58,0.1695468509984639,883,0.5198187995469988,0.4801812004530011
13,0.6,0.10944700460829493,570,0.5561403508771929,0.443859649122807
14,0.62,0.07469278033794163,389,0.570694087403599,0.42930591259640105
15,0.64,0.04665898617511521,243,0.5679012345679012,0.43209876543209874
16,0.66,0.022465437788018433,117,0.47863247863247865,0.5213675213675214
17,0.68,0.006528417818740399,34,0.38235294117647056,0.6176470588235294
18,0.7,0.0007680491551459293,4,0.5,0.5
19,0.72,0.0,0,,
20,0.74,0.0,0,,
21,0.76,0.0,0,,
22,0.78,0.0,0,,
23,0.8,0.0,0,,
