stage,arm,symbol,timeframe,changes,sharpe,cagr,max_drawdown,profit_factor,trades,exposure,precision,oos_bars,sharpe_ci_low,sharpe_ci_high,deflated_sharpe,benchmark_sharpe,status,seconds
levers,baseline,EURUSD,H1,(reference),-0.2605,-0.02234,-0.1442,0.9896,447,0.9326,0.5104,13731,-1.5168,1.1371,0.0,-0.145,ok,55.2
levers,session filter,EURUSD,H1,"backtest.session_hours=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",-1.0969,-0.0825,-0.1871,0.956,407,0.9085,0.5104,13731,-2.27,-0.0532,0.0,-0.145,ok,60.8
levers,top-20 features,EURUSD,H1,model.top_k_features=20,-0.3611,-0.03009,-0.1374,0.9854,360,0.9211,0.5006,13731,-1.5821,1.013,0.0,-0.145,ok,50.9
levers,volatility target 10%,EURUSD,H1,backtest.volatility_target=0.1,-0.1552,-0.02102,-0.1565,0.9939,447,0.917,0.5104,13731,-1.4468,1.3145,0.0,-0.145,ok,61.7
levers,threshold 0.55,EURUSD,H1,model.decision_threshold=0.55,-0.3777,-0.01658,-0.0707,0.9743,162,0.3058,0.5029,13731,-1.6112,0.6715,0.0,-0.145,ok,62.8
levers,horizon 48,EURUSD,H1,labeling.horizon=48; backtest.min_holding_bars=48; validation.embargo_bars=96,-0.3398,-0.02725,-0.1363,0.9861,222,0.869,0.502,13722,-1.629,0.8972,0.0,-0.115,ok,63.2
meta,meta (MA crossover),EURUSD,H1,labeling.method=meta,-0.0375,-0.00608,-0.1022,0.9985,111,0.9403,0.4784,13731,-1.0627,0.9942,0.0,-0.145,ok,64.0
meta,meta + session,EURUSD,H1,"labeling.method=meta; backtest.session_hours=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",-0.0282,-0.00531,-0.1078,0.9988,98,0.9262,0.4784,13731,-1.0507,1.0787,0.0,-0.145,ok,64.2
meta,meta + top-20,EURUSD,H1,labeling.method=meta; model.top_k_features=20,0.1303,0.00724,-0.0989,1.0053,92,0.9556,0.4788,13731,-0.8859,1.2156,0.0,-0.145,ok,61.1
meta,meta + session + top-20,EURUSD,H1,"labeling.method=meta; backtest.session_hours=[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]; model.top_k_features=20",0.1206,0.00646,-0.0963,1.0049,90,0.95,0.4788,13731,-0.9335,1.1855,0.0,-0.145,ok,59.7
